"ref","1","2","3"
1,-0.018,0.577,0.477
35473,-0.804,0.037,-2.874
19962,0.325,-0.101,NA
9599,0.623,0.611,-0.46
62286,0.32,0.07,-2.459
19314,0.549,-0.035,-0.731
5989,0.092,0.362,-2.879
2880,0.134,0.352,-0.197
21433,0.351,-1.832,-0.753
34577,-0.346,0.677,0.343
36731,0.521,-0.936,0.032
47274,NA,NA,NA
25027,0.113,-0.313,-6.052
31638,0.329,NA,NA
4581,0.263,0.034,-1.263
54313,0.45,-0.091,-3.397
25631,-0.206,-0.302,-1.055
4699,-0.306,NA,NA
30595,0.383,-0.63,NA
21969,0.359,-2.363,-0.795
38320,0.706,0.684,0.006
29463,0.267,-0.362,-1.061
8653,0.675,0.145,-0.902
62606,0.327,-8.2,-0.164
1082,-0.047,0.911,0.493
52893,0.516,-0.92,-0.799
17141,0.299,-0.032,-5.178
57451,0.273,0.305,-3.444
36962,0.177,-1.096,-0.548
21065,0.303,0.067,-0.281
60604,0.609,-1.463,-2.13
37488,0.638,-1.869,-0.428
1025,0.272,-0.015,-0.908
56087,0.48,0.337,-0.2
58563,0.519,0.386,-0.611
28178,0.618,0.421,-3.919
38415,0.305,0.186,-1.97
39460,0.602,-0.436,-0.283
826,0.526,NA,NA
19722,0.626,0.542,-0.456
19388,0.636,-0.108,-0.377
50524,0.515,-1.037,-0.852
19924,0.585,0.239,0.158
42899,0.673,0.553,-9.9
51970,0.418,0.514,-0.65
52187,0.427,0.457,-1.669
51474,0.174,0.325,-3.382
27451,0.513,0.268,-1.819
49214,0.184,-2.45,0.101
37216,0.541,0.333,-0.5
11898,0.586,-0.165,-8.434
26379,0.525,0.294,-4.349
31109,0.56,-2.538,0.071
40711,0.222,0.531,-0.794
39453,0.709,0.49,-1.548
13968,0.307,-3.901,-0.271
19974,0.285,-0.165,NA
6782,0.162,0.333,-0.851
32199,0.24,-0.942,0.364
7145,0.413,-0.353,-0.769
21107,0.299,-0.201,-3.907
58212,-0.014,-2.263,-0.66
46555,0.585,NA,NA
38745,0.39,0.266,-3.091
12577,0.641,-0.193,-1.448
42440,0.576,0.333,-5.581
53261,0.481,-0.024,-0.956
12027,0.63,-0.324,-0.761
11818,0.623,-0.172,-0.369
6938,-0.219,0.084,-1.489
61699,0.323,-0.335,-0.337
50935,0.807,0.53,-1.033
189,-0.016,-0.057,-1.784
1917,0.304,-0.547,0.525
61654,0.491,-0.792,-1.557
57021,0.488,0.387,-0.718
55240,0.408,0.385,-1.945
59508,0.643,0.194,-2.488
36169,0.464,0.235,-0.296
17814,0.414,-0.672,0.183
24927,-0.405,0.577,-1.382
11765,0.613,0.398,-1.897
29810,-0.578,0.465,-1.175
1720,NA,NA,NA
20372,0.514,0.016,-1.288
28017,0.36,0.384,-0.716
1113,0.266,0.049,-0.038
47147,0.066,-0.256,NA
55251,0.551,0.497,-1.813
14188,0.01,-0.294,-17.616
54655,0.459,0.004,-6.308
52989,0.359,0.416,-0.802
12833,0.627,0.337,-1.817
5516,0.555,-1.152,-0.824
41702,0.573,-0.621,-0.448
23393,0.455,0.459,-2.415
24039,-0.119,0.259,-2.337
365,0.566,-1.42,0.424
33123,0.376,-0.266,NA
22368,0.303,-0.005,-2.748
25564,0.33,-0.421,-0.7
21647,0.421,0.293,-1.248
865,-0.428,0.059,NA
56476,0.425,-8.811,-0.593
15018,0.587,0.696,0.482
26252,0.477,0.052,-7.442
47934,-0.246,NA,NA
41216,0.493,NA,NA
21306,-0.099,0.49,-2.088
15459,0.53,NA,NA
10300,0.609,0.303,-2.543
17983,0.301,0.682,-1.321
17686,0.358,-0.909,0.478
35594,-0.125,0.185,-3.045
16997,0.506,-0.585,0.674
15429,0.528,0.095,-2.205
9576,0.424,0.093,-0.783
18835,0.436,-3.364,-0.012
11655,0.607,-0.221,0.414
56359,0.373,-2.96,-3.226
35131,0.558,0.12,-4.595
21446,0.39,-0.196,-0.702
20027,0.427,0.748,NA
36826,0.312,-0.057,-0.748
52030,0.514,-0.168,-5.213
49441,0.587,0.606,0.894
45801,0.569,0.53,-2.853
48658,0.663,0.561,0.56
57685,0.603,0.01,-1.658
51316,0.395,0.357,-2.5
31029,0.515,0.422,0.02
9524,0.195,0.167,-0.736
56101,0.505,-1.848,0.027
12071,0.64,0.338,-1.211
49216,0.297,-2.26,-1.067
22959,-0.326,0.178,-1.279
3970,0.501,0.864,0.871
53057,0.384,-0.467,-0.454
42209,0.691,-2.25,-0.224
27241,0.621,-2.539,-1.959
34918,0.11,0.496,0.525
62788,0.385,-0.761,-1.252
6931,0.185,-1.167,-0.056
56449,-0.295,0.211,-7.034
14256,0.652,0.159,-8.529
36084,0.599,-1.526,-0.27
54805,-0.036,0.488,-2.787
462,0.507,0.61,0.162
63373,0.399,0.166,-2.107
3187,0.189,-0.066,-4.88
5033,0.316,-0.559,-0.355
43394,-0.602,0.279,-1.017
16001,0.523,0.411,-1.002
29691,-0.621,0.576,-0.566
5213,0.42,-0.95,-1.305
17237,0.451,-0.456,0.199
18767,0.594,-0.08,-1.441
16740,0.553,0.372,0.7
30842,0.102,0.768,0.864
1781,-0.027,0.287,NA
10442,0.215,0.104,-2.26
24966,0.375,-0.008,-0.748
34077,0.321,0.578,NA
9568,0.486,0.385,-1.272
49123,0.684,0.202,-1.134
40252,0.421,0.299,-0.587
13420,0.359,-1.912,-0.386
7235,0.383,-1.892,-0.001
3531,0.272,0.553,-3.658
10458,0.289,0.343,-0.441
29322,0.486,-0.332,-9.819
32177,0.397,-0.077,0.386
29306,0.56,0.707,-0.768
15067,0.528,0.548,-0.649
13013,0.329,-0.431,-3.764
61069,0.345,-0.305,-0.56
6890,0.32,-3.796,-0.64
40401,0.695,0.405,-1.459
31428,0.49,-1.414,-1.007
39711,0.18,-0.259,-0.485
24041,0.371,0.532,-0.235
22425,0.593,-0.053,-0.233
32279,0.471,-0.139,-0.177
15036,0.223,0.837,0.729
17578,0.614,-0.532,-3.417
39533,0.473,-0.177,-4.173
39263,0.384,-2.773,0.481
24899,0.439,-0.381,-1.443
36974,0.542,-0.705,-0.107
22290,0.604,-1.821,-0.117
12920,0.486,-0.408,-5.935
18910,0.512,0.502,NA
52306,0.443,-0.059,-1.073
10644,0.271,0.636,-0.132
25504,0.392,0.35,-1.985
27410,-0.217,NA,NA
23384,0.604,0.306,-0.483
52525,0.15,-0.504,-5.441
27052,0.511,-0.097,NA
6775,-0.381,-0.374,-4.208
33764,0.066,NA,NA
53104,0.251,-0.215,-3.302
12188,NA,NA,NA
54860,-0.647,0.493,-0.148
34592,-0.17,-3.242,0.301
60078,0.584,0.812,0.372
13341,0.524,0.689,-1.026
12854,0.704,0.63,-1.877
46916,0.444,0.091,0.169
10338,0.553,0.466,-0.82
19672,0.32,0.185,-3.901
63610,0.259,-3.338,-0.981
1467,0.493,-1.914,-0.282
6695,NA,NA,NA
18939,0.724,0.261,0.332
16757,0.572,0.426,0.055
52654,0.5,-1.663,-1.596
25314,0.428,-0.33,-6.117
8612,0.337,-0.445,-4.842
33902,0.471,0.594,NA
3284,0.536,0.284,-1.593
18249,0.56,-0.007,-1.628
7241,0.495,-0.101,0.145
54143,0.23,0.335,-1.884
9991,0.583,0.004,-0.265
52036,0.374,-0.246,-1.6
59982,0.254,0.262,-2.898
17674,0.479,0.38,-3.791
53013,0.251,-1.642,-1.135
27565,0.583,0.554,-1.526
61482,-0.399,0.297,-1.225
30384,0.492,0.578,-0.423
13434,0.144,0.346,-0.437
60193,0.382,-1.948,-0.069
2329,0.419,0.064,-3.757
25944,-0.563,0.358,-1.322
23711,0.238,-0.023,-1.102
42363,0.252,-0.268,-20.759
38213,0.548,-0.394,-4.278
18174,0.325,-0.1,-0.855
5383,0.331,-0.044,-4.41
54431,0.517,-1.741,-0.529
44532,0.383,0.029,-1.259
14012,0.598,0.257,-1.333
53000,0.423,0.596,-0.418
20285,0.609,0.74,0.323
43856,0.388,-0.306,-7.637
1739,0.457,-0.822,0.206
21106,0.479,0.475,-0.637
62007,0.546,0.372,0.146
603,0.288,0.303,-2.13
27104,0.154,NA,NA
37274,0.479,-7.184,-1.955
17184,0.218,-0.171,-6.778
46239,0.559,-0.247,NA
5347,0.275,-1.531,NA
8638,0.694,0.113,0.271
58463,0.368,-0.922,-0.776
8184,-0.059,0.332,-0.72
55556,0.591,-0.698,-0.523
12341,0.487,-0.242,-0.53
44581,0.572,0.576,-1.41
14032,0.447,-3.3,-2.163
15087,0.522,0.161,0.563
37149,0.595,0.376,-2.171
29696,0.457,0.259,-0.362
53244,0.481,0.566,-0.691
57856,0.285,-0.084,-1.501
47272,NA,NA,NA
16688,0.665,-1.548,-0.161
58311,0.385,0.426,-0.715
5265,0.582,-3.07,0.085
51327,NA,NA,NA
27195,0.375,-0.454,-23.52
15378,0.785,0.467,-12.365
57659,0.56,-3.738,-0.305
26648,0.534,0.211,-3.077
37815,0.499,-0.826,0.191
1147,0.588,-1.313,0.357
56553,0.146,-2.364,-0.722
10166,0.655,-0.434,-5.217
5000,0.547,0.693,NA
13286,0.354,-0.842,-7.041
63178,0.119,-1.428,-0.869
5588,0.382,0.324,NA
55483,0.334,0.42,-2.775
47770,0.363,0.397,0.601
46599,0.382,0.795,0.604
12617,0.56,0.369,0.172
27892,0.517,-0.126,-0.756
43171,0.589,0.255,-13.206
16113,0.398,0.401,-0.989
62825,0.393,-1.703,NA
36328,0.189,NA,NA
39614,0.182,-0.292,-2.205
28776,0.017,0.058,0.246
61538,0.505,-0.271,-1.109
22707,0.357,0.377,-1.669
23921,0.136,0.434,-1.333
48323,0.623,-2.138,-0.519
39517,0.668,-2.096,-0.293
41551,0.009,-0.27,0.125
2704,0.321,-2.447,-0.685
33548,0.392,0.255,-2.117
20583,0.686,-0.03,-1.706
12995,0.67,-0.733,-6.89
11365,0.49,-7.344,-0.582
12822,0.619,0.092,-3.313
52284,0.413,-0.279,0.251
51443,0.599,-0.12,NA
56535,0.501,0.198,0.286
28054,0.642,0.131,-1.394
27234,NA,NA,NA
53732,0.194,-0.416,-5.7
39190,0.513,-2.955,-0.143
25373,0.388,-0.023,-3.736
51207,-0.334,0.244,-20.183
61738,-0.527,0.202,-1.383
31880,0.43,0.765,0.797
58327,0.243,0.353,-2.918
11198,0.597,0.39,-18.516
1080,0.195,0.625,0.567
45663,0.435,0.325,-1.71
25873,0.407,-6.4,-1.59
60826,-1.725,0.015,NA
19613,0.314,NA,NA
54889,0.614,-0.431,-7.038
21270,0.572,0.325,-1.088
15323,0.552,-0.989,-2.99
51639,0.075,0.703,-1.033
23761,0.486,-1.926,-0.666
1032,0.388,-2.542,0.191
40995,0.625,0.048,-5.129
63318,-0.222,-0.925,-11.193
59644,0.312,-1.191,-0.776
22219,0.397,-0.164,-3.444
41632,0.399,-6.094,-1.874
291,0.579,0.591,-1.372
54971,0.276,-0.019,0.061
43434,0.511,-1.163,-0.71
11984,0.578,-0.326,-1.063
55197,0.49,-1.143,-0.054
61285,0.327,0.426,-1.531
10121,0.54,-0.397,-0.429
41199,0.511,0.271,-21.662
28647,0.408,0.005,0.226
30645,-1.909,-0.313,-2.283
20830,0.729,-2.618,-0.099
52467,0.597,-0.576,-0.352
55498,0.352,0.254,-3.378
21556,0.354,-1.775,-0.904
57867,0.131,-1.14,-7.965
23503,0.641,-2.63,-0.044
62945,0.391,0.326,-1.881
46877,0.219,-0.64,0.368
39285,0.565,0.545,-0.166
35453,0.582,-0.221,NA
11380,0.435,0.184,-5.635
27567,0.64,0.019,-4.45
54137,0.621,0.357,-3.298
21151,0.227,-1.468,-0.437
9087,0.18,-5.732,-1.628
62411,0.097,0.514,-3.58
50456,0.37,-0.593,-1.435
23899,0.496,-2.74,-0.775
29067,0.566,-0.384,-4.961
41402,0.516,-1.301,-3.238
8249,0.453,0.154,-1.196
23734,0.333,0.527,-0.65
22710,-0.46,0.408,-2.736
43585,0.458,0.518,-1.218
24004,0.481,0.135,-2.477
2496,0.376,0.404,-2.475
55118,0.559,0.242,-4.838
31940,0.47,0.442,0.147
43271,-0.151,0.261,-0.671
15059,0.383,0.299,-1.195
58969,0.01,-2.185,-1.338
19851,0.29,-1.302,0.211
33560,0.59,0.544,-6.335
41386,0.442,NA,NA
17197,0.299,-2.243,-0.316
37173,0.156,-0.158,-1.19
32029,0.203,-1.734,-0.026
27134,0.476,-0.16,-16.608
27826,0.632,-0.01,-2.203
49667,0.551,-2.1,-0.35
22339,0.74,-0.23,-2.071
23967,0.277,-0.796,-4.071
1128,0.628,0.754,0.491
35559,-0.521,-2.323,-5.078
9695,0.04,0.593,-0.666
61169,0.381,-0.205,-1.044
39214,0.562,-0.141,-6.201
50219,0.559,-0.462,-6.288
16801,0.353,0.504,NA
11146,0.034,0.418,-0.015
53006,0.349,0.401,-0.247
33689,-0.577,0.68,NA
1310,0.49,0.661,NA
45536,0.235,-0.384,-11.529
22367,0.369,0.026,-3.89
20419,0.18,0.069,-4.301
15164,0.431,0.748,-0.137
19351,0.218,0.35,0.251
31494,0.412,-2.431,-0.797
493,0.437,0.099,-4.066
19283,0.457,-0.746,-3.205
61058,0.402,-2.161,0.04
60316,0.478,0.076,-0.705
3889,0.584,0.477,-0.098
58290,0.22,0.109,-2.324
36678,-1.707,-0.143,-4.822
33292,0.335,0.095,-2.265
46049,0.086,-0.172,-5.73
7716,0.484,-0.356,-0.799
43571,-0.048,0.374,-0.793
12058,0.474,-0.597,-6.174
41435,0.17,-1.093,-0.086
49527,0.547,-2.376,-0.027
6926,0.059,0.334,-0.56
19187,0.444,0.649,NA
34368,0.522,-0.893,-0.9
46454,0.528,0.642,-0.792
7770,0.392,-0.055,-3.431
24137,0.504,-0.602,-6.398
39273,0.357,0.526,-0.918
10617,0.504,0.389,-12.157
3706,-4.092,0.629,0.181
45043,0.549,-2.091,0.089
24505,0.487,-0.392,-1.374
18270,-0.13,0.277,-11.929
20052,0.527,0.012,-8.155
15677,0.53,0.598,-0.681
35719,0.4,-2.546,0.028
23962,0.542,-0.703,-4.338
3201,0.273,-0.11,-2.434
17478,0.436,0.348,-2.769
30788,-0.82,NA,NA
24478,0.531,0.142,-1.355
57054,0.586,-0.51,-2.918
10369,0.633,0.656,-0.068
12949,0.432,-1.65,-1.55
4186,0.439,0.761,NA
55989,0.57,0.245,-7.067
