"ref","1","2","3"
1,0.17,0.614,0.183
20756,0.078,0.375,-7.416
4877,0.124,0.342,-5.69
42157,0.424,0.234,-2.35
52486,-1.098,-1.192,-4.142
53335,0.06,-0.913,-2.015
14138,0.478,0.062,-1.48
36691,-0.336,-1.785,-3.253
42701,0.196,-6.306,-1.353
17636,0.33,0.376,-1.452
10490,-0.382,0.027,-2.452
19521,0.349,0.112,-5.386
58963,0.387,-1.269,-3.317
30749,-0.314,-0.265,-5.152
13514,0.418,-0.016,-1.788
36194,0.113,-2.777,-1.313
55139,0.276,-0.058,-3.03
11741,0.104,-1.645,-3.167
33683,0.523,0.069,-1.106
2829,0.447,0.417,-0.691
57227,0.114,-0.389,-0.797
7485,0.42,-0.45,-1.735
22564,0.215,-0.385,-2.575
57167,0.331,-1.348,-1.317
32053,0.525,-0.55,-0.54
30982,0.563,0.408,-1.014
12009,0.178,-1.814,-1.813
16156,0.067,-1.325,-2.742
11201,0.332,-0.248,-1.072
45166,0.397,0.159,-2.839
7589,0.627,-0.416,-1.982
6546,0.528,0.138,-2.387
12522,0.495,-0.387,-1.43
4328,0.511,0.436,-2.073
54626,0.34,-2.464,-0.706
13390,0.651,-0.277,-2.263
26784,-0.598,0.176,-3.031
27208,0.497,0.117,-0.816
45370,0.365,-0.134,-2.209
30999,0.567,-0.484,-0.842
46561,0.475,0.268,-0.102
2957,0.473,0.51,-1.002
50841,0.571,-0.163,-1.542
20378,0.239,-0.024,-4.848
16871,0.504,0.04,-1.237
28070,0.204,-0.927,-2.848
3557,0.399,0.252,-1.527
46868,0.515,-1.045,-2.039
58591,0.574,-0.155,-1.078
6837,0.288,0.11,-2.664
41710,0.076,0.284,-1.521
19268,0.355,-5.461,-1.62
41323,0.414,0.442,-1.967
52002,0.27,-4.58,-1.551
47133,0.432,-0.727,-1.46
32021,0.539,-1.192,-1.298
59689,0.203,-0.254,-1.599
4482,0.522,0.436,-4.858
54691,0.381,-3.068,-0.116
61029,0.286,-0.73,-1.682
7053,0.561,0.09,-3.169
44964,0.238,0.244,-1.359
48494,0.536,0.413,-2.425
4154,0.315,-0.487,-2.195
35500,0.346,-0.515,-2.096
