"ref","1","2","3"
3935,0.8,NA,NA
52528,-0.001,-0.001,-0.001
25267,-0.001,-0.001,-0.001
25893,-0.001,-0.001,-0.001
46931,-0.001,-0.001,-0.001
33371,-0.001,-0.001,-59.331
12382,-2.352,0.011,NA
25152,-0.001,-0.001,-0.001
38282,-0.001,-0.001,-0.001
62540,-0.001,-0.001,-0.001
44008,-0.001,-0.001,-0.001
29835,-0.001,-0.001,NA
45305,-0.001,-0.001,NA
20698,-0.001,-0.001,-0.019
11129,-0.001,-0.001,-0.001
53511,-0.001,-0.001,-0.001
42486,-0.001,-0.001,NA
17926,-0.001,-0.001,-2.842
8140,-0.001,NA,NA
42298,-0.001,-0.001,-0.001
6125,-0.001,-0.001,-0.001
36129,-0.001,-0.001,-0.001
50228,-0.001,-0.001,-0.001
50431,-0.001,-0.001,-0.001
25906,-0.001,-0.001,-0.001
37023,-0.001,-0.001,-0.001
1483,-360.826,NA,NA
47481,-0.001,-0.001,-0.001
49234,-0.001,-0.001,-0.001
37844,-0.001,-0.001,-0.001
8097,-0.001,-0.001,-0.001
65200,-0.001,-0.001,-0.001
7038,-0.001,-0.001,-0.001
2688,-0.001,-0.001,-103.27
5213,-0.001,-0.001,NA
35248,-0.001,-0.001,NA
63629,-0.001,-0.001,-0.001
29548,-0.001,-0.001,-0.001
46689,-0.001,-0.001,-0.001
14494,-0.001,-15.484,NA
62678,-0.001,-0.001,-0.001
18231,-0.001,-0.001,-0.001
64135,-0.001,-0.001,-0.001
9542,-0.001,-0.001,NA
39425,-0.001,-0.001,-0.001
19009,-0.001,-0.001,-0.001
18936,-0.001,-0.001,-0.001
38415,-0.001,NA,NA
62872,-0.001,-0.001,-0.001
1992,-0.001,-0.001,-0.001
1637,-669.105,0.901,NA
30419,-0.001,-0.001,-85.603
64929,-0.001,-0.001,-0.001
5253,-0.001,-0.001,-0.001
27358,-0.001,-0.001,-0.001
33041,-0.001,-0.001,-0.001
10599,-0.001,-0.001,-0.001
26283,-0.001,-0.001,-189.667
59696,-0.001,-0.001,0
55176,-0.001,-0.001,-0.001
12906,-0.001,-268.082,0.959
40207,-0.001,-0.001,-0.002
2146,-0.001,-0.001,-84.735
15536,-0.001,NA,NA
40627,-0.001,-0.001,-0.001
37674,-0.001,-0.001,-0.001
40574,-0.001,-0.001,-0.001
39548,-0.001,-0.001,-71.978
12934,-0.001,-0.001,-0.001
39785,-0.001,-0.001,-0.001
47051,-0.001,-0.001,-0.001
20429,-0.001,-0.001,-93.195
54008,-0.001,-0.001,-0.001
50648,-0.001,-0.001,-0.001
16073,-0.001,-0.001,-567.13
5967,-0.001,-0.001,-103.142
45271,-0.001,-0.001,NA
52065,-0.001,-0.001,-0.001
40709,-0.001,-0.001,NA
50710,-0.001,-0.001,-0.001
7145,-0.001,-0.001,-236.901
48296,-0.001,-0.001,-0.001
18319,-0.001,-0.001,-0.001
21437,-0.001,-309.491,0.965
38961,-0.001,-0.001,-0.001
342,-0.001,-0.001,0
58242,-0.001,-0.001,-0.001
50370,-0.001,-0.001,-0.001
24180,-0.001,-0.001,-0.001
8169,-0.001,-0.001,-0.001
62479,-0.001,-0.001,-0.001
64780,-0.001,-0.001,-0.001
54999,-0.001,-0.001,-0.001
59357,NA,NA,NA
38406,-0.001,-0.001,-0.001
11568,-0.001,-0.001,-206.284
31780,-0.001,-0.001,-0.001
13586,-0.001,-0.001,-93.089
44439,-0.001,-0.001,-0.001
5580,-0.001,-0.001,-15188.718
14144,-0.001,-0.001,-0.001
60374,-0.001,-0.001,-0.001
26124,-0.001,-0.001,-0.001
41261,-0.001,-0.001,-0.001
23499,-0.001,-0.001,-16.816
48822,-0.001,-0.001,-0.001
59535,-0.001,-0.001,-0.001
49653,-0.001,-0.001,-0.001
23008,-0.001,-0.001,-0.001
2702,-0.001,-0.001,NA
60289,-0.001,-0.001,-0.001
5680,-0.001,-0.001,-0.128
54916,-0.001,-0.001,-0.001
34397,-0.001,NA,NA
44960,-0.001,-0.001,-0.002
22405,-0.001,-0.001,0
16388,-0.001,NA,NA
25059,-0.001,-0.001,-111.555
22276,-0.001,-0.001,-0.001
65237,-0.001,-0.001,-0.001
370,-453.84,0.924,-817.968
27266,-0.001,-0.001,NA
