"-3","-2","-1","0","1","2"
0.975,0.975,0.975,0.975,0.974,0.961
0.98,0.98,0.98,0.98,0.979,0.966
0.975,0.975,0.975,0.976,0.975,0.963
0.975,0.975,0.975,0.975,0.975,0.962
0.975,0.975,0.975,0.975,0.974,0.961
0.976,0.976,0.976,0.977,0.976,0.97
0.978,0.978,0.978,0.978,0.977,0.97
0.977,0.977,0.977,0.977,0.976,0.963
0.976,0.976,0.976,0.976,0.975,0.962
0.976,0.976,0.976,0.976,0.975,0.962
0.976,0.976,0.976,0.976,0.975,0.962
0.976,0.976,0.976,0.976,0.975,0.962
0.976,0.976,0.976,0.976,0.975,0.963
0.978,0.978,0.978,0.978,0.977,0.964
0.977,0.977,0.977,0.977,0.977,0.966
0.977,0.977,0.977,0.977,0.976,0.964
0.975,0.975,0.975,0.975,0.975,0.965
0.978,0.978,0.978,0.978,0.977,0.961
0.973,0.973,0.973,0.973,0.973,0.962
0.977,0.977,0.977,0.978,0.977,0.96
