"ref","1","2","3"
1,0.039,0.681,0.988
1,0.039,0.681,0.988
2,-2.777,0.576,0.895
3,-0.074,0.033,0.989
4,-0.238,0.344,0.973
5,-1.23,-1.525,0.85
6,0.184,0.45,0.993
7,0.486,0.79,0.862
8,0.182,0.819,0.955
9,0.172,0.364,-0.574
10,0.162,0.378,0.691
11,0.451,0.1,0.913
12,-1.817,0.358,0.537
13,0.34,0.476,0.982
14,0.004,0.627,0.629
15,0.344,0.118,0.951
16,0.153,0.03,0.657
17,0.374,0.546,0.926
18,0.122,0.406,0.888
19,0.371,0.67,0.95
20,0.357,0.622,0.739
21,0.467,-0.061,0.969
22,0.213,0.661,0.982
23,0.04,0.575,0.758
24,0.311,0.41,0.75
25,-0.013,-0.125,0.878
26,0.385,0.356,0.512
27,0.554,0.327,0.875
28,0.454,0.188,0.98
29,0.363,-0.022,0.902
30,0.048,-0.007,0.89
31,-0.041,0.257,0.552
32,0.399,-0.06,0.521
