"ref","1","2","3"
3966,-0.007,-0.152,-2.77
43245,0.331,0.182,-0.739
25723,0.467,0.352,-2.771
35692,-0.356,NA,NA
16048,0.183,-0.312,-1.444
48021,0.468,-0.857,-2.077
49680,0.34,0.015,-3.636
57196,NA,NA,NA
34689,0.404,-3.239,0.371
40754,-0.164,-0.796,-3.984
57753,0.555,NA,NA
2605,0.128,0.379,-1.154
2879,-0.051,0.429,-7.495
6154,0.526,-3.265,-1.61
12261,-0.813,-4.459,-0.921
54727,0.344,NA,NA
51872,-0.271,NA,NA
5337,0.664,-2.091,-1.332
9839,-0.192,-0.502,-2.912
31891,-0.056,-1.046,-6.894
4137,0.268,-0.126,-1.82
16904,-0.281,0.051,-0.657
28436,0.074,0.582,-3.873
26286,0.615,-0.023,-7.921
55888,0.675,0.569,NA
54767,0.65,NA,NA
28309,0.33,0.23,-2.776
15444,-0.616,0.095,-1.1
7732,0.226,-1.437,-13.216
50560,0.36,0.896,-3.619
38700,0.674,NA,NA
24845,-0.029,-8.132,-4.554
56977,0.26,0.57,-5.968
16378,0.257,-1.192,-0.512
2573,-0.315,-0.247,-19.983
36046,0.375,0.368,-18.278
32243,0.531,-0.569,-0.212
40680,-0.135,-1.28,-125.633
15930,-0.097,-3.236,-2.369
9951,0.314,-0.332,-3.644
24780,-0.059,-1.936,-28.739
22035,0.158,-0.396,-5.705
29971,0.738,-0.246,NA
15817,-0.498,0.476,-1.373
51194,NA,NA,NA
19198,0.063,0.044,-1.07
23819,0.212,-11.567,-6.759
29536,0.254,0.131,-22.302
41256,0.147,NA,NA
26401,0.36,-0.519,-3.768
21890,-0.294,0.099,-1.232
32781,0.374,-26.408,-1.253
53184,0.396,-0.167,-0.705
58376,0.77,0.452,NA
53291,0.664,-0.495,NA
46533,0.637,-3.103,NA
33963,0.322,0.434,-5.818
50787,-1.271,0.406,NA
50610,0.53,-0.609,-2.056
32784,0.645,-0.464,-1.38
43425,0.356,0.681,NA
58647,0.465,-3.376,NA
16767,0.461,0.255,-6.551
14387,0.182,-1.362,-29.264
42498,0.74,NA,NA
58288,NA,NA,NA
33877,0.179,-0.233,-0.01
1065,0.036,-0.14,-2.188
48876,-3.386,NA,NA
6055,0.193,0.36,-3.039
29541,0.413,-0.99,-0.172
8967,-1.231,-0.238,-3.925
11932,0.2,-0.652,-4.951
16812,0.362,0.259,-1.562
2010,0.297,0.164,-5.891
38127,-0.382,-0.965,-5.138
31865,-0.072,-0.391,-2.62
16317,-0.039,0.385,-1.679
45490,0.262,-11.732,-8.045
41882,0.488,-2.027,-22.433
54702,NA,NA,NA
24772,0.266,-3.317,-0.044
28764,0.249,0.156,-11.36
31111,0.647,-1.548,-42.874
15893,0.143,-0.574,-16.236
58036,0.179,0.593,NA
37002,0.392,0.401,-1.935
11413,-0.043,0.001,-5.383
25816,0.301,0.407,-1.582
51015,0.699,-0.949,NA
53291,0.664,-0.495,NA
21765,0.233,0.109,-2.765
55487,0.339,0.269,NA
43155,0.492,-37.664,-0.844
4266,0.1,-0.241,-13.839
52061,0.593,NA,NA
34293,0.614,0.402,-5.906
8979,-0.499,-0.863,-0.666
37324,0.238,-8.756,-0.464
15541,-1.374,-0.528,-3.462
25057,-0.475,-1.022,-27.307
5158,-0.171,-0.833,-0.733
3023,0.348,-2.96,-5.68
59288,0.294,NA,NA
2566,-0.676,0.01,-1.864
33712,-2.387,-3.788,-98.95
44048,0.172,-30.04,-10.64
14738,0.095,-0.76,-0.775
46046,0.028,-8.769,NA
9810,-0.447,-0.221,-9.75
