"ref","1","2","3"
1,-0.69,0.326,0.376
28926,0.415,-1.668,-0.79
2864,0.458,0.626,0.427
54469,0.681,-1.112,-2.378
49359,0.371,-2.39,-0.878
19212,-0.424,0.767,NA
23954,0.603,0.684,-0.398
4993,-0.69,0.705,0.824
36365,0.62,-0.522,-0.159
24840,0.242,0.613,-0.143
22356,0.205,0.308,-1.147
2354,NA,NA,NA
41365,0.582,0.597,-0.116
28808,0.27,0.45,-0.916
46116,0.61,0.578,0.665
30031,-0.69,0.431,0.821
48600,-0.69,0.835,0.759
50443,0.271,0.523,0.174
23633,0.394,0.42,0.542
39424,0.631,0.849,NA
3835,-0.401,0.64,0.479
32356,-0.863,0.18,-0.978
48270,0.472,0.392,0.21
27138,0.343,0.403,0.252
51432,0.436,0.283,0.039
34125,-0.69,0.406,0.399
58117,0.697,NA,NA
46229,-0.125,-1.473,-1.37
61752,0.453,0.409,-0.098
5081,-0.402,NA,NA
41093,0.748,0.26,-0.453
61761,-0.146,-0.567,-1.362
41477,0.537,0.81,0.626
11404,-0.69,0.539,0.133
46744,0.394,0.341,-0.386
9481,0.559,0.576,0.585
22165,0.567,0.349,-1.495
22129,0.366,-0.602,0.013
31560,0.23,NA,NA
7609,0.345,-0.112,0.106
45051,0.567,0.446,0.739
54249,0.225,0.427,0.382
46779,-0.642,NA,NA
8802,0.3,-0.416,-0.001
8605,0.326,-1.031,0.138
8762,0.612,0.716,-0.066
10441,-0.313,-1.063,-0.988
42580,0.593,0.493,-0.154
43121,0.351,-0.474,-0.01
59990,0.66,0.157,-1.936
21436,0.661,0.462,-3.808
54522,-0.432,-0.755,-7.637
56251,-2.177,NA,NA
30206,-0.791,-0.621,-2.843
931,0.812,-0.011,-0.451
22609,0.485,0.52,0.687
31066,0.08,-1.355,-0.349
59102,0.302,-0.258,-2.009
23126,0.651,-0.693,-2.477
37312,0.132,-0.628,-3.16
10951,0.482,-0.332,-0.065
6889,0.368,-0.799,-0.058
55749,0.473,0.506,-1.014
3497,0.24,-1.699,-0.254
57358,0.497,0.491,-1.163
1456,-1.26,-0.457,-11.951
17713,0.688,0.462,-0.79
10682,0.666,0.102,-0.695
35311,0.183,-0.362,NA
34680,-0.69,0.753,0.636
19639,-0.365,NA,NA
29874,0.529,0.677,-1.805
46628,0.409,0.181,-0.434
2076,0.532,0.472,0.466
60436,0.63,-1.738,-0.113
31275,-0.69,0.651,0.297
4074,-0.797,-0.118,-1.049
10181,0.662,0.492,0.141
38036,0.318,0.322,-0.924
25315,-0.093,0.038,-3.055
19632,-0.533,0.303,NA
593,-0.11,-0.73,-0.095
13459,0.729,0.234,-0.477
46614,0.563,0.08,-0.538
2743,0.377,0.369,0.418
59272,0.119,-0.33,-1.788
19330,-2.117,NA,NA
11289,-0.69,0.686,0.263
41825,0.538,0.261,0.114
13495,0.649,0.076,-0.161
49366,0.285,-0.219,-0.02
59995,0.207,-0.545,0.096
53584,0.547,-0.113,0.102
58670,0.622,NA,NA
25174,0.687,-0.939,-0.78
6105,-0.081,-0.323,-0.918
33704,-1.427,-0.425,-0.567
27611,0.561,0.533,-0.474
63684,0.904,0.178,-0.861
55459,0.682,-1.325,-1.864
20864,0.39,-1.024,-0.12
12607,0.752,0.47,-0.057
48600,-0.69,0.835,0.759
2184,-0.69,0.64,-0.001
651,-0.504,-2.178,NA
34954,-0.149,-0.52,NA
58128,-0.013,-3.454,NA
58523,0.064,-0.381,-2.121
51657,-0.125,0.232,-1.597
17207,0.136,-0.614,-0.012
32838,-0.69,0.631,0.569
46572,0.576,-2.596,-0.154
23428,0.292,-0.294,0.067
33850,-1,0.423,NA
52626,0.669,-0.467,-0.255
28669,0.28,-2.318,-0.689
50608,0.432,0.399,0.137
52021,-0.441,-0.562,-2.575
25601,0.626,0.184,NA
16620,0.4,0.639,-0.991
17314,0.555,0.744,-1.56
58290,0.761,-0.25,-0.469
44287,0.634,0.294,-1.185
45366,0.243,0.81,-0.048
45566,0.607,0.723,-0.5
23727,0.701,0.42,0.069
13061,0.033,0.235,-2.242
20710,-0.323,-0.133,-1.46
10286,0.277,-0.263,-0.724
18770,-0.815,0.739,-0.116
33607,-0.69,0.256,0.731
47557,0.416,0.036,-0.081
26956,0.802,0.789,0.146
53810,0.734,-2.089,-0.702
37869,0.566,-0.449,0.066
12947,0.719,0.454,-0.715
56678,0.533,0.578,-0.075
10585,0.548,0.466,0.681
56120,0.682,0.696,0.311
34427,-0.69,0.766,0.352
58512,0.262,-0.337,-4.26
14715,0.623,-0.742,-0.845
31058,0.296,0.429,0.179
34387,0.501,0.631,-0.394
13697,0.491,0.581,-1.254
29514,-0.499,0.465,-1.558
27751,0.479,NA,NA
9985,0.816,0.682,-0.428
61914,0.464,0.848,0.835
39133,0.699,0.18,0.506
8535,-0.024,-1.601,-0.014
18918,-0.69,0.789,0.746
29844,-0.519,-0.404,-1.191
56343,0.599,0.838,0.4
58178,0.58,NA,NA
13209,0.607,0.278,0.123
2897,0.007,-1.098,NA
28951,0.514,0.711,-0.516
47804,-2.135,0.64,NA
18703,-0.131,0.136,0.515
25189,0.729,0.654,-0.324
43434,0.473,0.563,-1.368
19374,-0.672,-0.136,NA
38613,0.68,0.604,-0.678
33995,-0.69,0.586,0.237
7429,0.445,-3.487,-0.781
63253,0.469,0.084,-1.452
11125,0.295,0.459,-1.127
32260,0.602,0.71,0.067
243,0.202,NA,NA
13721,0.554,0.305,-0.783
13695,0.471,0.18,-0.811
39912,0.124,0.391,-0.155
62728,0.745,0.616,0.401
48032,0.398,0.592,0.273
10197,0.407,0.206,0.28
51104,0.601,0.509,-1.261
9267,0.601,0.772,0.054
53607,0.373,0.606,-0.289
29578,0.305,-0.347,-2.512
56619,0.153,-0.076,0.073
20142,-1.56,0.327,NA
40415,0.123,0.487,0.078
21752,0.544,0.258,-0.59
18489,0.105,0.042,-1.253
33133,-0.69,0.678,-0.363
23733,0.675,0.195,0.038
58320,0.701,-2.25,-0.242
35854,0.387,0.325,0.496
13123,0.434,0.208,NA
25974,0.685,-0.249,-0.072
43412,0.589,0.113,-0.425
11632,0.548,0.385,-0.311
38771,0.43,0.754,0.756
48994,-0.186,-3.051,NA
1988,0.27,0.097,NA
3287,0.59,0.715,-0.423
58425,0.783,-0.098,NA
30456,0.068,NA,NA
6901,0.716,-1.024,0.12
46110,0.612,0.633,0.238
4219,0.025,0.679,NA
38280,0.687,0.237,-0.637
56450,0.77,0.601,-0.324
36764,0.311,0.096,-0.997
1294,-0.457,0.169,-1.002
35398,0.52,0.743,-0.602
13849,0.716,0.451,-0.662
1669,0.442,-0.01,NA
51706,0.432,0.277,0.267
35369,-1.406,-0.56,NA
33464,0.679,-0.223,-1.686
9728,0.584,0.64,0.713
10302,0.325,0.652,-1.765
6751,-0.195,-0.038,NA
62364,0.683,0.551,0.043
61707,0.558,0.414,NA
2719,0.306,-0.919,-0.181
14240,0.464,-0.608,-4.607
55109,-0.039,0.106,-1.701
28478,0.581,-1.705,-0.303
30766,0.832,-0.005,-2.671
45501,0.572,0.738,0.314
45735,0.663,0.177,-0.285
28288,0.179,0.165,-1.019
41659,0.198,0.496,0.347
51991,0.447,-0.063,0.317
29283,0.459,0.481,0.562
14309,0.682,0.423,-0.767
39831,0.752,0.021,-0.857
18290,-0.465,0.078,0.197
47290,0.478,-1.14,0.348
38379,0.613,0.472,-0.186
44340,0.756,0.072,NA
37670,0.574,0.413,-0.306
55799,0.007,0.12,-0.737
46695,0.36,0.177,-0.362
54834,0.413,-1.499,-0.776
11922,0.441,0.043,0.34
17852,-0.69,0.678,0.719
34588,-0.661,0.164,NA
11768,-0.093,-4.33,-5.993
5455,0.302,-0.194,NA
31844,0.561,0.335,0.136
59688,0.624,-0.565,0.125
9890,0.612,0.576,0.549
12643,-1.088,NA,NA
2669,0.655,0.414,-0.895
45280,0.36,-1.334,-0.065
55323,0.644,0.357,-0.31
5839,0.552,0.79,0.09
24114,0.647,0.086,0.222
27262,-1.333,-0.997,NA
1873,-0.69,0.918,0.445
14910,0.41,-0.592,-0.556
18590,0.267,0.384,-0.12
51816,0.42,-0.038,-0.266
12781,0.105,-0.898,NA
8154,0.489,-0.472,-0.115
18414,0.489,0.685,-0.085
48066,0.697,-0.139,0.066
1806,0.543,0.552,0.663
8049,0.372,-0.301,-0.106
6075,0.246,-0.824,-0.506
20267,-0.149,-0.558,-0.545
17,-0.69,0.354,0.84
55418,0.337,0.408,-0.079
26674,0.593,0.345,0.366
2295,-0.69,0.681,0.558
30210,-0.69,0.722,0.513
41332,-0.123,NA,NA
24054,0.623,-0.169,-0.553
11292,0.576,0.021,-0.497
728,-0.128,-1.068,-0.05
2042,-1.038,NA,NA
32154,0.283,0.577,0.622
29477,0.431,-0.285,-0.696
38222,0.78,0.282,-0.657
1756,0.668,0.814,0.735
14980,-0.434,0.121,0.496
6712,0.481,-0.308,-0.081
1003,-0.69,0.643,0.726
27211,0.159,-0.564,NA
33961,-0.299,0.284,-0.407
20970,0.586,0.494,0.395
22764,0.948,0.771,0.217
58851,-0.047,NA,NA
38201,0.61,0.698,-0.077
33521,0.423,-0.904,-0.173
11525,0.682,0.877,0.38
42199,0.551,NA,NA
60311,0.349,-1.762,-0.431
46639,0.828,0.386,-0.197
14054,0.26,0.484,NA
18930,-0.69,0.744,0.7
17151,-0.44,-0.178,NA
11260,0.441,0.454,-0.322
3879,-0.153,-0.28,-0.209
6870,0.606,0.633,0.461
43996,0.682,0.068,-1.249
11028,0.556,0.678,0.626
48155,0.396,0.458,-0.043
11074,0.748,0.756,0.053
129,-0.69,0.659,0.733
53430,0.538,0.602,-0.376
61976,0.503,0.675,0.806
30440,-0.189,-1.646,-0.162
51392,0.386,0.457,0.28
48946,-0.001,-0.48,-0.688
40368,0.595,0.628,0.658
59632,0.499,-1.381,-0.905
22998,0.424,-0.552,-1.479
50668,0.834,-1.24,-1.201
4615,0.435,0.74,0.051
