"R1","R2","R3"
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7.66166240038333,7.6477119719369,7.38815670558193
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7.55419116274076,7.19639040121547,7.59223754155068
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7.65105194910026,7.90484236617772,7.64295830763096
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6.27175458125977,6,6.20506009897529
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7.50586240540442,7.32106289608132,7.3443203109039
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
8.09073561144095,8.03580757285179,7.78897680170672
6,6,6
6,6,6
6,6,6
7.42592046366545,7.44908424567198,7.40321086157059
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
7.12152334221999,7.33492501770072,7.36235248757227
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
8.15049140887059,7.84323051118293,7.7345157863983
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
