"ref","1","2","3"
1,0.46,-0.059,-0.242
4760,0.424,0.411,-3.74
5955,-1.497,-0.58,-0.327
3181,-1.398,0.109,-2.27
4356,-2.346,0.288,-0.369
385,-1.954,0.237,-0.564
5729,0.293,-1.031,-1.147
7917,-1.228,-0.428,-2.527
4774,0.176,0.148,-5.896
6020,-1.077,-0.773,-0.217
432,-1.127,0.186,-0.859
2546,-1.475,-0.006,-1.77
6683,-0.074,-1.853,-0.235
2078,0.022,-0.541,-0.094
5515,-0.313,-3.673,-0.558
6201,0.037,-0.124,-1.513
6486,-0.175,-1.882,-0.183
7035,-0.388,-1.476,-0.69
583,0.403,0.594,-4.136
3698,-0.503,-1.377,-1.955
7331,0.454,0.284,-1.917
776,-0.591,-0.827,-0.355
4015,-0.606,-0.617,-2.558
3363,0.039,-0.468,-2.291
7323,-0.11,0.215,-1.192
1022,-0.538,0.361,-1.402
7792,-0.617,-2.379,-0.607
4891,-0.758,0.03,-0.187
4035,-0.712,0.476,-1.439
6071,-0.506,-1.158,-1.262
370,-1.048,-0.343,-2.948
2737,0.351,-1.309,-1.539
5074,-0.408,0.236,-1.577
4475,-0.589,-0.467,-1.079
6248,0.434,-0.26,-5.459
5672,-1.019,0.111,-3.886
3259,-0.088,0.161,-1.206
2993,-1.636,-0.505,-2.819
2070,-3.983,0.092,-2.252
538,0.222,0.239,0.064
4479,-0.211,-0.663,-3.119
4720,-2.924,-0.377,-3.679
1027,0.438,0.412,-0.568
446,-0.366,0.419,-1.166
7359,-0.527,0.12,-1.348
3221,0.25,-1.18,-0.071
260,-2.429,-0.009,-2.39
954,-0.754,0.334,-1.414
5532,-0.2,-0.073,-0.704
7952,-1.649,-0.468,-4.573
350,-1.185,0.48,-1.682
6557,-0.484,-0.007,-0.789
3686,0.363,-1.909,-0.217
5761,0.383,-2.378,-0.98
3020,-0.489,0.371,-0.429
5160,-0.635,0.088,-3.312
1928,-1.43,0.187,-1.83
144,0.057,0.593,0.009
6283,-1.761,-0.343,-2.646
6860,-1.591,0.408,-0.237
1894,-3.214,0.664,-0.6
4977,-0.547,-1.645,-2.165
6243,0.352,-0.683,-2.172
702,0.13,0.346,-0.563
1290,-0.25,-0.645,-1.715
1080,-0.276,0.381,-1.809
6561,-1.876,-0.618,-3.145
2460,-0.305,-0.822,-0.274
7871,-0.714,0.014,-1.558
7618,-0.33,-0.032,-1.343
1473,-1.243,0.265,-1.447
4890,-0.911,-0.601,-0.271
6468,-0.35,-0.851,-1.05
3883,-1.444,-0.835,-3.069
3422,-2.214,-0.484,-4.002
6428,-0.416,-1.113,-0.022
154,0.287,0.508,0.087
7284,-0.009,-0.794,-1.239
7584,-0.345,-1.189,-1.305
3672,0.11,-2.165,-0.822
1166,-0.908,0.676,-0.941
18,0.068,-0.569,0.038
1500,-0.343,0.187,-2.622
7504,-1.798,-0.689,-0.961
261,-2.697,-0.111,-2.646
3418,-1.614,-0.567,-2.009
5709,-2.101,-0.004,-3.027
1538,0.386,-0.563,-0.182
6642,-0.837,-0.012,-1.398
5504,-0.34,-1.483,-2.165
2414,-1.07,0.227,-2.564
1382,-3.486,0.324,-3.416
6041,-0.359,0.006,-1.762
6836,0.254,-4.163,-0.239
6783,-1.24,-0.617,-3.394
5019,-0.499,-0.286,0.263
1667,-0.001,-0.097,-4.408
3802,-0.57,0.298,-1.17
5667,-0.064,-0.067,-4.607
5602,-0.765,-1.026,-0.861
5690,-0.21,-1.359,-0.495
2078,0.022,-0.541,-0.094
5153,0.317,0.476,-1.255
3134,-0.132,-0.423,-0.766
6720,-0.348,-0.412,-2.928
1879,-0.56,-0.482,-1.613
1173,0.386,0.262,-0.637
1611,-2.407,0.5,-0.665
6548,-0.438,0.371,-0.245
2523,-0.776,0.309,-1.402
4410,-1.053,0.356,-0.543
2135,-3.968,0.159,-1.64
2932,-0.387,-0.295,-1.84
7943,-0.259,-2.996,-0.902
6755,0.402,-3.255,-0.86
2801,0.386,-0.322,-2.179
3098,-0.067,-0.835,-0.454
6934,-0.818,-0.272,-1.278
2598,0.43,-0.459,-0.144
5783,-0.393,0.25,-3.338
3429,-1.399,-0.342,-3.221
5365,-2.626,-0.214,-2.884
2077,-0.241,-1.503,-0.061
5922,-0.815,-1.677,-0.656
5115,-0.487,-0.006,-0.351
586,-2.55,0.266,-1.381
1814,-0.484,-0.158,-0.932
7752,0.332,-2.348,-0.367
2229,0.048,-3.547,-0.265
2296,0.077,-2.442,-1.139
5708,-0.833,-1.024,-0.444
4653,-2.447,-0.248,-4.431
8145,-0.162,-0.455,-2.353
3333,-0.041,-1.638,-0.289
373,-0.967,0.185,-0.9
4434,-1.598,-0.347,-2.994
7809,0.13,-3.457,-0.566
5073,-1.634,-0.098,-2.766
20,-0.054,0.142,-3.947
1486,-0.23,0.445,-1.588
7491,-0.047,-2.246,-0.524
6712,0.024,-2.196,-0.205
5094,-2.567,-0.474,-3.214
7510,-0.071,-0.144,-1.822
3391,-0.512,-2.188,-0.632
7455,-1.789,-0.394,-1.773
3262,-0.804,0.168,-1.765
3764,0.074,-1.3,-1.552
6344,0.133,0.014,-7.066
5204,0.033,0.542,-1.059
6988,-0.636,-0.044,-2.834
5288,0.327,-4.138,-0.348
4899,-0.636,-0.898,-0.467
4093,-0.236,-1.823,-0.843
4862,-1.052,0.009,-2.279
4347,-1.045,0.47,-0.869
7416,-1.608,-0.444,-3.368
6247,0.251,-6.074,-0.09
4997,-2.103,-0.087,-2.577
3820,-0.357,-1.047,-0.203
7062,-1.58,0.471,-0.457
5413,-1.688,-0.242,-2.031
2884,-0.764,-0.203,-1.525
3560,-0.114,0.073,-0.755
6556,-0.387,0.295,-0.347
247,0.354,-0.106,-3.361
7165,0.038,-0.319,-1.213
7808,-0.217,-0.39,-2.188
7498,-0.313,-0.679,-2.323
5026,-0.09,-1.974,-0.422
6115,-1.161,-0.143,-2.479
6863,0.022,-3.065,-0.681
3931,-1.503,-0.538,-1.785
3018,-1.105,0.374,-2.005
5555,-0.645,-0.085,-1.383
3407,-2.528,-0.397,-2.777
983,-1.718,0.063,-1.403
3580,-0.296,-0.442,-3.681
6625,0.054,-0.623,-0.565
3628,-0.313,-2.662,-0.326
7848,-0.659,-0.172,-2.824
879,-2.52,-0.793,-3.567
5418,-0.292,-5.854,-0.532
6459,-0.032,-0.557,-1.32
5884,-0.516,-1.453,-0.531
3226,-0.567,0.491,-1.295
4385,-2.141,-0.051,-2.582
1989,-1.23,-0.415,-2.419
1917,-1.634,-0.304,-5.543
98,0.34,-5.117,-0.47
2359,-0.546,-1.766,-0.309
4431,-0.74,0.082,-0.729
1819,-0.305,-4.068,-0.419
656,-1.793,0.368,-1.716
3897,-1.743,-0.605,-4.706
3923,-0.085,-0.598,-1.142
5468,-0.223,-1.51,-0.866
3446,-0.088,-1.374,-0.39
4097,0.439,0.551,-1.293
3176,0.252,-0.381,-2.667
2805,0.178,-4.349,-0.413
1475,-0.936,-0.324,-0.272
1338,-0.511,-0.764,-0.544
4851,0.297,-0.241,-3.61
5494,-0.417,-3.572,-0.499
7860,-2.296,-0.548,-3.876
7467,-3.482,-0.535,-4.502
116,0.278,-2.583,-0.199
4147,0.09,-3.384,-0.014
4246,0.429,0.584,-1.123
7704,0.016,-2.949,-0.561
5090,-2.053,0.373,-1.998
1963,-0.243,-2.781,-0.809
1078,-0.111,-0.772,-0.826
741,0.243,-0.042,-1.5
4491,-0.977,0.499,-1.635
8139,-0.101,-0.128,-0.446
6886,0.036,0.13,-4.181
2708,0.115,-4.816,-0.03
6359,0.354,-0.298,-3.299
4427,-1.926,0.167,-1.757
2010,-0.207,0.203,0.041
5245,-0.282,-2.14,-0.433
1709,-0.972,-0.249,-2.523
3039,-0.47,-0.413,-0.436
7936,-0.377,-1.12,-0.283
1064,0.497,0.351,-0.358
4043,-0.227,-1.988,-0.884
448,-0.462,0.516,-0.884
3539,-0.908,0.119,-1.502
2227,0.173,-0.289,-2.213
2643,-0.098,-1.036,-1.473
6961,-0.617,-0.498,-3.024
702,0.13,0.346,-0.563
8139,-0.101,-0.128,-0.446
6028,-0.204,0.179,-1.211
1534,-0.238,-0.172,-1.706
5784,0.083,-0.931,-0.287
8109,-0.25,-1.64,-4.369
5536,-0.281,-1.165,-0.768
4428,-1.173,0.208,-0.484
330,-1.488,0.192,-1.109
896,-0.48,-1.224,-0.784
3945,-0.18,-0.322,-5.44
5590,-0.447,-1.492,-0.404
2508,-0.336,-0.88,-0.442
2828,-0.129,-0.54,-2.225
5641,-1.695,0.238,-1.01
5572,-1.285,0.397,-1.911
7216,0.043,-0.678,-0.711
4120,0.067,-1.128,-0.805
1081,-0.349,-0.093,-0.216
3000,-1.566,-0.449,-3.112
2650,-0.108,0.033,-0.378
7669,-1.023,-0.394,-2.782
3820,-0.357,-1.047,-0.203
3130,-0.255,-0.245,-0.007
3009,-0.113,-0.429,-0.663
2140,0.022,-0.184,-0.545
6099,-0.322,0.097,-1.418
5097,-0.558,0.12,-0.273
5700,-0.985,0.036,-4.153
8093,-0.218,0.035,-0.916
2589,-0.177,-0.407,-2.65
1804,-0.18,-1.938,-0.611
6194,-0.896,-0.718,-0.798
4716,0.294,-0.989,-0.61
5123,0.19,0.249,-3.662
476,-0.356,0.614,0.075
7094,-1.739,-0.337,-3.254
1357,-0.345,-0.164,-4.517
4227,0.477,0.324,-2.356
7658,-0.125,-0.148,-2.538
343,-0.976,-0.055,-1.551
6044,-0.31,0.283,-0.976
