"ref","1","2","3"
47783,0.868,-39.647,-456.765
30793,-0.011,0.596,0.817
11185,NA,NA,NA
41031,NA,NA,NA
4909,NA,NA,NA
10620,NA,NA,NA
27989,-0.008,0.335,0.89
39998,0.062,-1.608,0.875
16030,-0.523,0.609,0.915
29873,-0.009,0.553,NA
30898,NA,NA,NA
54112,-0.01,0.604,0.73
56351,-0.012,0.022,0.703
2596,NA,NA,NA
21215,NA,NA,NA
60098,0.059,0.848,0.904
29407,-0.012,0.578,0.75
35599,NA,NA,NA
67266,-1.984,0.893,0.84
13636,-0.009,0.578,0.784
52062,-0.004,0.641,0.478
7401,-0.01,NA,NA
57488,-0.012,0.355,0.805
37137,NA,NA,NA
9827,NA,NA,NA
3313,-0.022,0.625,0.854
35763,-0.016,0.636,0.889
55795,-0.013,0.193,0.615
47858,-18.414,0.883,-2409.901
12275,-2.462,0.766,0.967
19338,0.005,0.161,0.925
33487,-1.343,0.695,0.891
54735,0.002,0.344,0.917
37062,0.01,0.572,0.899
12045,-0.001,NA,NA
63669,NA,NA,NA
39583,-0.026,0.273,0.841
56207,-0.043,NA,NA
50123,NA,NA,NA
44698,-0.863,0.634,-15659.687
2543,-4.878,0.806,0.788
16305,-0.026,NA,NA
54116,-0.006,0.644,0.711
59522,-0.012,0.328,0.616
16164,-0.015,-0.003,0.564
47028,-13.754,0.876,-4302.422
18140,-0.009,0.176,0.541
52785,0.105,0.109,0.895
29945,-0.006,0.284,0.452
18953,NA,NA,NA
4020,0.092,0.538,0.788
60237,-0.01,0.569,0.727
57829,0.043,0.613,0.766
38397,-0.013,0.112,0.623
50546,0.121,0.762,0.921
15532,NA,NA,NA
60396,NA,NA,NA
26867,-0.02,0.051,NA
25838,0.001,0.432,0.917
66467,-0.015,-0.008,0.724
34299,-13.192,0.794,0.783
58911,0.001,0.678,0.878
57484,-0.012,0.352,0.766
56440,-0.008,0.613,0.893
19198,-0.013,0.149,0.908
53146,-8.069,0.877,0.868
32036,0.404,0.423,NA
23788,-0.012,0.149,0.473
17955,NA,NA,NA
44967,-1.883,0.831,-12885.074
61460,NA,NA,NA
15579,0.133,0.83,NA
60997,NA,NA,NA
51210,-0.014,0.612,0.749
38996,0.023,0.426,0.902
1966,-0.031,0.62,0.849
47376,-0.963,0.574,NA
64795,-5.124,0.923,0.576
2694,NA,NA,NA
43696,-10.11,0.883,-3533.929
45905,0.601,-24.137,-3234.863
40188,0,0.51,0.911
36558,-0.021,0.207,0.923
13346,NA,NA,NA
21225,-3.525,0.767,NA
32459,NA,NA,NA
59006,-0.011,0.4,0.87
13066,-0.012,0.133,0.557
45719,-6.133,0.927,NA
40461,-0.015,0.005,0.633
36388,-0.021,0.426,0.821
16997,NA,NA,NA
14756,-6.559,0.853,0.825
30677,-0.009,0.514,0.915
12862,-0.03,NA,NA
21661,NA,NA,NA
39357,0.042,NA,NA
44736,NA,NA,NA
21686,NA,NA,NA
61805,-0.022,0.056,NA
7189,0.028,-0.27,0.92
54529,-0.023,0.563,0.826
3726,-0.011,0.452,0.112
47147,-0.05,-0.139,-1953.613
62186,-0.01,-0.003,0.758
50729,-3.35,0.81,0.765
44097,-0.034,-3.45,-163.632
2146,-0.017,0.57,0.778
38268,-0.016,0.428,0.474
15048,0.082,NA,NA
31403,NA,NA,NA
