"ref","1","2","3"
1,0.192,-1.26,0.771
107702,-0.029,0.256,0.345
64284,-0.048,0.327,0.758
59206,-7.69,0.748,0.908
82076,0.035,0.42,0.861
68103,-0.409,0.461,0.713
41896,-0.773,0.607,0.779
99500,0.135,0.561,0.636
79495,-0.059,0.354,0.911
46738,0.038,0.161,0.726
101452,-0.052,-1.741,0.302
100148,0.054,0.279,0.872
72653,-0.01,-1.462,0.652
70653,-0.048,0.123,0.836
37555,-0.039,0.079,0.829
70519,-0.045,-0.24,0.687
27726,NA,NA,NA
13576,-0.874,0.506,0.634
10078,-0.046,NA,NA
10694,0.013,NA,NA
76136,-0.051,-1.089,0.911
26407,-0.254,0.438,0.778
51968,-0.023,0.257,0.909
78028,-0.043,0.42,0.877
12873,-0.011,0.297,0.853
84591,-0.041,0.104,0.673
92298,0.01,0.312,0.884
21932,NA,NA,NA
61411,-0.03,-0.851,0.902
13711,-0.028,0.338,0.799
84461,-0.451,-0.018,0.643
52096,-0.029,0.15,0.916
17629,-0.03,0.264,0.667
93439,-0.033,0.07,0.599
44216,0.009,0.396,0.855
5792,-0.043,-0.133,0.516
8937,-0.329,-0.012,0.848
81527,-0.037,0.374,0.869
32934,-6.385,0.493,0.614
71720,-0.013,-1.099,0.823
56922,-0.041,-0.027,0.622
109103,-11.18,0.591,0.714
52658,-0.041,0.078,0.718
65922,0.049,0.625,0.929
49991,-3.504,0.308,0.745
87201,-0.041,0.045,0.554
93514,-0.046,0.027,0.581
42890,-0.036,0.31,0.868
61581,-5.939,0.608,0.783
22614,0.038,0.474,0.915
43775,0.048,0.773,NA
81312,-0.036,0.626,0.872
36926,0.031,-0.58,0.145
5046,0.017,0.119,0.784
43307,-0.044,0.273,0.801
48772,0.221,-1.19,0.769
84924,-0.683,0.193,0.568
18439,-0.484,0.303,0.834
83478,-0.054,-0.054,0.86
34773,0.146,0.168,0.867
7368,-0.364,-2.453,0.02
89422,-0.658,0.187,0.74
12130,0.009,-0.065,0.881
105976,-0.021,0.546,NA
59530,-1.955,0.449,0.872
21411,-0.086,0.578,0.812
59315,-5.453,0.623,0.768
43606,-0.056,-0.024,0.706
80871,-0.176,-0.96,0.263
103704,-4.802,0,0.621
67495,0.176,0.565,0.848
5955,-1.763,0.628,0.787
101644,-0.045,-0.268,0.904
28539,NA,NA,NA
24853,0.156,0.581,0.862
3682,-0.013,0.311,0.875
43131,-0.023,0.359,0.875
22311,-4.154,0.526,0.832
13389,-0.554,0.641,0.671
30437,-0.276,0.185,0.848
78534,-0.015,-0.174,0.691
12468,-0.097,0.442,0.736
74832,-0.051,-0.523,0.852
63781,0.187,0.516,0.813
73432,-0.075,-0.501,0.668
14644,-0.417,0.277,0.782
2359,-0.741,0.595,0.772
93347,-0.053,0.013,0.555
52729,0.057,-1.24,0.734
25876,-0.061,0.452,0.867
43726,0.271,-3.93,0.764
32707,-0.005,0.514,0.816
46673,0.008,0.294,0.815
73545,-11.664,-0.13,-0.262
59099,0.034,0.089,0.858
36144,-0.027,-0.256,0.541
44443,-0.328,0.368,0.828
84335,-0.397,-0.093,0.794
36981,-0.069,0.044,0.728
57291,-0.331,0.472,0.696
66390,-0.033,0.199,0.661
47538,-0.854,0.191,0.73
57342,0.061,0.636,0.863
58836,-3.981,0.49,0.596
25420,0.054,0.045,0.629
87797,0.033,-0.11,0.875
60318,-0.488,0.431,0.885
21534,0.088,-0.822,0.781
90079,0.102,0.41,0.596
25620,-0.027,0.307,0.684
104281,-0.074,-0.122,0.902
80200,0.018,0.566,0.828
9086,0.017,0.446,0.885
14760,NA,NA,NA
38608,-0.05,0.044,0.694
25858,-0.142,0.622,0.879
17569,-0.499,-0.614,0.813
42929,-0.073,0.594,0.781
19555,0.114,-0.88,0.828
15745,-0.935,-0.941,-0.405
53435,0.104,0.33,0.866
14769,-1.62,0.684,0.504
102180,0.2,-0.021,0.807
32484,NA,NA,NA
20640,-2.231,-4.693,0.591
68091,-2.539,0.526,0.834
73068,-0.112,0.078,0.74
58001,-0.31,0.654,0.789
13105,0.007,0.308,0.856
69442,NA,NA,NA
20641,-3.734,-0.345,0.44
7229,-0.041,0.353,0.849
5998,-4.749,0.513,0.459
30528,-0.055,0.276,0.86
33820,0.01,0.188,NA
16720,0.047,0.648,NA
94099,-0.038,0.264,0.779
59868,0.236,0.323,0.754
62750,-0.189,0.501,0.721
64371,0.171,0.48,0.663
67841,0.073,0.43,0.827
61320,0.029,0.187,0.929
80420,0.099,0.609,0.914
16740,0.034,0.576,0.876
87582,-0.043,0.333,0.871
68383,-3.236,0.625,0.722
62159,-0.025,-0.112,0.892
39783,-0.044,0.077,0.86
40121,-0.023,0.108,0.829
33887,NA,NA,NA
108796,-0.02,0.429,0.841
19597,0.035,0.183,0.792
78940,-0.036,0.622,0.854
75599,-0.059,0.087,0.825
42963,-0.179,0.531,0.895
103486,-0.014,-3.623,0.748
60132,-0.018,0.382,0.906
94224,-0.101,0.093,0.697
106134,-0.603,0.577,0.891
57370,0.096,0.521,0.739
58084,-0.009,-0.328,0.771
107304,0.005,0.125,0.789
19005,-0.126,0.618,0.828
69368,-0.038,-0.012,0.616
98090,-1.238,0.576,0.768
48366,-0.663,0.094,0.842
51977,-0.032,0.161,0.9
68425,-0.223,0.488,0.735
90151,-0.064,0.267,0.807
6548,0.046,0.411,0.869
107731,-1.642,0.637,0.886
74709,-0.045,0.001,0.806
59738,-0.025,0.481,0.872
76531,-0.021,-0.37,0.814
57901,-0.244,-2.288,-0.148
22987,0.009,-0.575,0.78
69123,-31.421,0.193,-16.325
98757,0.019,-0.662,0.567
57448,-0.385,0.641,0.828
94850,-0.04,0.327,0.859
83693,-0.109,0.432,0.731
80908,-0.016,0.14,-0.009
98747,-0.03,-0.899,0.636
54196,-0.18,0.22,0.897
37234,-2.014,0.25,0.511
102668,0.049,0.301,0.881
79344,-0.101,-0.157,0.381
24861,-0.286,0.673,0.715
33335,-5.58,0.593,-0.177
9523,0.195,-0.365,0.802
98442,0.083,0.495,0.799
48090,-1.173,0.562,0.746
106668,-0.044,0.291,0.904
76298,-0.055,-0.282,0.798
108054,-0.037,-1.251,0.912
13219,-1.457,0.019,0.479
89059,-0.04,0.233,0.543
13168,0.03,-0.066,0.819
107486,-0.045,0.164,0.231
187,-1.095,0.276,NA
70015,-1.015,-0.266,0.782
59420,0.09,0.526,0.774
93140,-0.018,0.322,0.696
93218,-2.452,0.431,0.436
7323,0.178,0.581,0.836
88799,-0.087,-0.198,0.695
43986,0.224,-2.758,0.768
107018,0.046,0.442,0.889
99717,-0.284,0.346,0.545
96395,0.002,0.27,NA
102103,0.102,-0.277,0.821
24784,-0.052,0.293,0.908
12712,-0.046,0.205,0.83
4439,-0.037,0.048,0.859
40218,0.1,-0.843,0.74
100336,-2.908,0.456,0.317
79323,-0.575,0.648,0.774
75874,-0.034,-0.742,0.885
102680,-6.449,0.492,0.799
37561,0.008,-1.632,0.799
34531,NA,NA,NA
101619,-0.038,-0.107,0.884
45800,-0.02,0.621,0.883
41515,0.009,0.33,0.818
4083,-0.082,-0.024,0.697
16931,-0.04,0.424,0.89
77102,-0.049,-0.504,0.777
9472,0.062,0.629,0.894
77528,-0.047,0.362,0.888
9112,0.504,0.47,0.869
85612,-0.011,-1.507,0.732
23051,-0.047,0.113,0.759
23069,0.041,-0.239,0.752
108064,-0.005,-1.071,0.893
71041,-0.054,-0.017,0.58
7157,-0.01,0.194,0.844
91483,0.126,0.326,0.651
12380,-0.951,-0.026,-0.117
98453,-0.023,0.215,0.825
89877,-0.238,0.377,0.79
27208,0.078,0.512,0.858
41776,-4.312,0.632,0.618
21004,-0.036,0.413,0.776
65868,-0.043,0.493,0.907
85661,0.032,-0.04,0.861
106901,-0.048,0.603,0.863
67157,-4.457,0.48,0.81
99293,-0.561,0.551,0.76
7364,-0.281,0.315,0.725
91402,-0.194,0.325,0.792
95837,0.021,0.457,NA
4821,-0.063,0.164,0.905
84805,-0.041,-0.003,0.623
54792,-0.072,-0.201,0.415
93464,-0.03,0.034,0.472
49664,-2.638,0.047,0.718
49004,-2.953,0.208,-1.952
25916,-7.641,0.624,0.795
48875,0.009,0.386,0.854
45284,-4.362,-0.624,0.569
88794,-13.386,0.486,-0.254
72113,-0.041,0.175,0.883
71321,-0.026,0.078,NA
103687,-1.722,-0.109,-0.18
68082,-2.497,0.531,0.877
104866,-4.168,-0.02,0.813
75540,-0.098,0.024,NA
99682,-22.829,0.509,0.597
84862,-0.022,0.158,0.703
11716,-0.007,0.459,0.861
94924,-0.561,0.399,0.665
46731,0.018,0.268,0.801
93061,0.107,0.25,0.847
11220,-9.533,0.205,0.686
76981,-0.01,-9.938,0.542
62122,0.179,-0.1,0.749
49738,-0.022,-0.764,0.714
28091,-0.055,0.01,NA
9496,0.014,0.548,0.861
13941,0.002,-1.2,0.589
91775,0.032,0.269,0.758
29891,-0.619,-0.708,0.562
53091,-0.118,0.52,0.656
34302,-0.031,0.065,0.373
52597,-0.044,0.111,0.775
16431,-1.343,0.782,0.914
56727,-0.086,0.012,0.442
84133,-0.031,0.338,0.698
72040,-0.048,0.082,0.827
37677,-0.044,0.085,0.854
80235,-3.1,0.581,0.662
90619,-0.527,0.033,0.656
66909,0.053,0.567,0.869
6791,0.116,-0.186,0.81
18175,-1.393,0.351,0.677
86001,0.068,0.452,0.827
106824,-0.544,0.611,0.789
29829,-0.074,0.188,0.301
45002,0.219,-1.578,0.785
20748,-0.336,-0.751,0.768
3380,NA,NA,NA
74289,-0.068,0.148,0.821
