"ref","1","2","3"
1317,0.365,-0.171,-22.7
674,-0.152,0.079,0.065
5777,0.093,0.14,0.422
6735,-0.064,-3.228,-17.81
496,0.039,0.176,0.351
531,-10.426,0.491,-14.094
4569,-0.028,0.161,0.513
6113,-0.963,-0.362,0.024
2163,-1.481,-0.244,-14.484
1238,-3.746,0.045,0.058
7945,-0.219,-0.739,0.498
4762,0.013,0.324,0.55
5351,0.043,0.215,0.38
3805,-0.247,-0.118,0.528
5547,-0.06,0.131,0.551
2564,-3.982,0.487,0.085
2446,0.291,-0.497,0.468
2212,-0.158,-0.089,0.349
7181,-0.156,0.168,-0.179
9209,-0.042,0.136,0.468
4519,-1.427,0.288,-17.747
2266,0.142,-1.42,0.184
8552,-0.114,-0.156,0.355
574,0.762,-8.653,-9.043
6938,-0.081,-0.127,0.526
3132,-1.184,-4.486,-7.465
1894,0.172,-0.172,0.555
126,0.154,0.102,0.52
1075,0.034,-0.716,0.334
2089,-0.233,-2.732,-14.317
7910,-0.025,-0.873,0.267
6440,-0.044,-0.177,0.446
994,-0.892,0.259,0.43
2663,0.011,-0.711,-0.047
1176,-0.003,0.133,0.226
5400,0.056,-0.07,0.356
1893,-0.005,-0.033,0.609
8160,-4.628,0.395,0.134
3276,0.035,0.119,0.399
3751,-1.337,0.421,-16.231
5308,-4.373,0.373,0.112
4131,-0.029,-0.567,0.606
6408,-0.292,-0.456,0.472
936,-0.19,-0.595,0.055
7242,-0.079,-0.283,0.45
2262,-0.189,0.262,0.529
4490,-0.371,-0.833,-13.307
7080,0.033,-0.059,0.548
3654,-0.635,-0.782,-73.601
6288,-0.225,-0.209,0.561
7422,-0.241,-0.143,0.526
7807,0.078,-0.099,0.193
8187,-0.077,-0.643,0.055
8218,-8.218,-0.264,-0.987
533,-8.235,-0.441,-19.251
7184,-0.222,-0.135,0.298
2843,-0.087,0.159,0.308
646,-6.434,0.299,-11.345
4607,-0.144,0.056,0.559
7231,0.192,-1.627,0.276
870,-0.021,0.359,0.056
2454,-3.011,0.555,0.143
7415,0.11,0.014,0.507
8655,-0.223,-0.261,0.556
8141,0.009,0.06,0.369
3011,-4.726,0.115,0.149
9302,0,-0.159,0.479
1723,-0.412,-0.123,0.554
2947,0.426,-0.226,-6.85
2986,-0.196,0.164,0.37
8145,-0.019,0.101,0.427
1663,-0.179,-0.105,0.601
8524,-1.634,-0.015,0.112
440,-9.489,0.291,-0.135
3740,-0.201,-0.038,-12.33
7489,-0.105,-0.105,0.467
7714,-0.043,-0.085,0.489
7385,-0.014,-0.006,0.548
2892,-4.065,0.479,-19.901
5678,-0.807,0.233,0.14
9036,0.087,0.062,0.264
3986,0.164,0.411,0.497
3446,-0.056,0.125,0.533
5747,0.05,0.276,0.372
1641,-0.268,-0.599,0.601
8684,-0.225,-1.839,0.354
7703,-0.195,-0.22,0.431
4482,0.284,-2.494,-7.466
968,-4.201,0.126,-0.153
893,-0.328,0.534,0.309
8801,-0.052,-0.036,0.529
8812,-0.359,-0.986,0.501
4808,-0.065,0.201,0.54
1200,0.003,-0.71,0.196
1753,-0.317,-0.203,0.548
3329,-0.252,-0.225,0.499
3427,-0.021,-0.147,0.38
6361,-0.347,-0.126,0.576
687,0.03,-0.046,-0.012
308,-0.003,-0.044,0.198
1693,-0.369,-0.321,0.56
488,0.018,0.167,0.235
7781,0.088,0.197,0.288
3962,-0.086,0.476,0.443
5332,-0.369,-0.741,0.085
6009,-0.36,0.131,-13.64
2766,-6.497,0.204,0.221
2985,-0.472,0.336,0.35
6880,-0.059,-0.058,0.394
4085,0.019,0.201,0.391
7874,-0.069,0.121,0.51
4310,0.001,0.132,0.506
976,0.101,-0.489,0.342
1257,0.159,-0.47,0.393
4716,0.096,0.428,0.374
7432,-0.293,-0.642,0.524
7966,0.03,0.164,0.091
870,-0.021,0.359,0.056
8986,0.162,-0.246,0.263
7488,0.031,-0.218,0.607
8532,0.027,0.35,0.334
1191,-4.953,-7.399,-12.449
6768,-0.073,-5.494,-12.054
4726,-0.272,0.281,0.193
5015,0.142,-0.147,0.452
8420,-0.004,0.063,0.188
8844,-0.368,0.117,-0.068
5396,0.04,0.049,0.369
7804,-0.023,0.128,0.269
1899,-0.125,-0.057,0.351
8517,-0.104,0.024,0.351
172,-0.267,-2.394,0.501
3772,-0.294,-0.276,0.496
4783,-0.971,0.42,0.072
8817,-0.526,-0.446,0.539
341,0.011,-0.842,0.336
735,0.097,-0.237,0.402
6626,0.021,-2.47,-0.16
6580,-0.322,-0.47,0.441
6043,-1.631,-2.04,-12.544
662,-0.015,-0.222,0.364
62,-0.004,-0.902,0.054
7046,-0.089,-0.023,0.602
1743,-0.065,-0.008,0.486
478,-0.055,0.071,0.233
8837,-0.159,-0.194,0.498
8564,0.175,-1.763,-0.358
3007,-1.571,-4.556,-6.106
7314,-0.202,-0.11,0.351
1188,-0.846,0.087,0.294
339,-1.747,-0.177,0.308
8533,-0.7,0.38,0.257
5133,-4.374,0.302,-0.187
2341,0.059,-0.448,0.574
2667,-0.057,-0.236,0.432
2989,0.108,-0.25,0.335
2915,0.529,-5.533,-18.524
1381,0.855,-5.712,-6.801
6641,-0.334,-0.186,0.499
4718,-0.012,0.112,0.47
3083,-1.703,0.121,0.095
7224,-0.244,-0.054,0.538
5815,-0.042,0.105,0.542
7291,-0.36,0.3,0.187
5953,-0.046,0.195,0.497
6879,-0.131,0.016,0.47
1073,0.041,-0.515,0.286
7736,-0.048,0.094,0.529
4182,0.093,0.128,0.454
5318,-1.956,0.387,0.176
4104,-0.318,-0.246,0.61
3084,-0.165,-0.136,0.406
4364,-0.236,-0.013,0.512
1820,-0.206,-0.739,0.389
7410,0.078,-0.013,0.121
5888,-0.59,-0.564,-0.076
4545,-0.042,-0.17,0.651
5974,-0.248,-0.354,-11.542
3441,0.064,-2.4,0.218
2969,-2.333,0.217,-12.375
3418,-0.283,-0.079,0.565
5431,-0.272,-0.229,0.523
530,0.721,-9.382,-9.093
6781,0.551,-6.373,-9.357
3439,-0.312,-0.143,0.38
2829,0.048,0.41,0.407
8772,-0.271,-0.263,0.563
307,-0.087,-1.653,0.454
8150,-0.012,-0.42,0.276
9160,-0.377,-0.016,-20.421
8320,-6.639,0.166,-30.847
5526,-0.102,0.191,0.478
4142,0.033,0.118,0.584
5919,-0.183,0.097,0.5
5456,-0.044,0.048,0.582
1632,0.048,-0.185,0.596
464,-0.221,0.139,0.358
59,0.155,0.275,0.363
4082,0.071,-1.361,0.45
8731,-0.343,-0.413,0.569
2221,-0.035,-0.124,0.563
579,0.722,-4.391,-47.238
6268,-0.052,0.053,0.373
7664,-0.15,-0.639,-0.033
5853,-0.02,-0.326,0.05
7955,-0.031,-0.226,0.4
5131,-1.373,-0.18,0.106
7237,-0.001,0.034,0.604
6274,0.018,-0.501,-0.215
8359,-2.955,0.413,-22.526
927,0.036,0.144,0.213
368,0.061,-0.328,0.367
2269,0.078,0.068,0.45
7509,-0.233,0.018,0.546
4793,-1.4,-0.039,0.109
5212,0.519,-9.915,-8.504
2026,0.144,-1.402,0.23
2174,0.284,-0.363,-11.879
4912,-0.084,0.01,0.508
6961,0.02,-1.344,0.243
8735,-0.355,-0.369,0.003
3348,-0.202,-0.167,0.575
939,-11.345,0.355,-0.024
1989,-0.138,0.143,0.413
3371,0.03,-1.148,-0.405
8185,-0.304,-0.828,0.156
1216,-0.087,-1.149,0.377
1926,0.094,-2.264,0.301
6305,-0.277,-0.34,0.518
5445,-0.026,0.272,0.524
6863,-0.458,-0.324,-0.727
4055,0.022,0.344,0.539
9023,0.093,-0.298,0.513
4487,-3.508,0.132,-11.866
4816,0.191,-0.032,0.329
2309,-0.152,0.105,0.56
7195,-0.013,0.164,0.494
3012,-0.048,-0.095,0.345
4306,-0.044,-0.587,-0.07
8823,-0.012,-0.008,0.367
6601,-0.049,-0.439,0.471
7194,-0.016,0.073,0.603
6719,0.102,-0.42,0.147
7777,-0.795,0.418,0.119
2367,0.003,0.004,0.287
8065,-0.231,-0.548,0.509
8383,0.422,-2.085,-23.562
5124,-0.027,0.18,0.392
6155,-0.323,-0.827,0.577
5200,0.635,-0.583,-31.698
5684,-0.077,0.141,0.593
789,-5.902,0.148,-0.073
8963,0.113,-0.113,0.131
856,-0.027,-0.251,0.507
6426,0.045,-1.941,0.329
8376,0.81,-1.145,-13.495
7084,0.006,0.168,0.495
5852,-0.392,-0.243,0.14
7118,-0.149,-0.118,0.638
2624,-5.301,0.326,0.079
7200,0.072,0.115,0.497
5762,0.057,0.035,0.375
2720,0.001,0.214,0.537
2763,-0.5,0.026,-0.28
2572,0.016,0.151,0.424
5086,0.126,0.094,0.457
387,-0.254,-0.534,0.412
2271,-0.059,-0.044,0.409
9139,-1.415,0.629,-11.742
5615,0.059,0.293,0.58
5620,0.039,-1.912,0.436
5030,0.13,0.152,0.414
202,-0.056,-0.67,0.366
3565,-0.015,-0.544,0.268
2493,0.05,-0.857,-0.085
2089,-0.233,-2.732,-14.317
1340,0.797,-4.011,-12.552
6276,0.055,-1.666,0.16
3838,-0.213,0.078,0.439
805,-2.186,-4.864,-7.3
7499,-0.081,0.101,0.501
4029,-0.129,-0.003,0.271
445,-2.007,0.191,0.004
2457,-0.016,0.249,0.508
1149,-4.392,0.351,-0.023
6832,-0.251,-2.698,-18.67
8567,-0.181,-1.667,-0.185
8305,-3.833,0.374,-19.47
1429,0.051,-0.328,0.204
8114,-0.169,-0.696,0.459
3405,-0.261,-0.421,0.57
1926,0.094,-2.264,0.301
3959,-0.47,0.364,0.332
6736,-3.028,-0.091,-37.383
3889,-1.15,0.205,0.119
7098,-0.055,-0.101,0.617
9203,-0.373,-1.358,0.397
5226,0.382,-1.342,-14.211
1449,-0.225,-1.87,-0.737
4441,0.804,-6.38,-11.195
1700,-0.175,-0.005,0.558
3289,-0.275,-0.209,0.557
7825,0.019,-0.205,0.467
1614,-0.062,0.217,0.509
8181,-4.308,-8.062,-13.458
8677,-0.508,-0.228,-0.015
653,-1.875,0.554,-0.005
8191,-0.17,-0.421,0.297
4224,-0.218,0.211,0.6
8803,0.115,0.023,0.391
8278,-2.799,0.484,-0.197
1162,-0.063,-0.237,0.368
3222,-0.025,0.034,0.587
4301,-1.24,-5.562,-7.804
630,0.44,-2.842,-6.736
1379,-0.231,0.192,-13.663
1901,-0.058,-0.092,0.49
1586,0.11,-2.23,0.263
8385,-3.5,-0.987,-8.091
5461,-1.23,-9.233,-6.555
5963,-0.431,-0.078,-12.151
493,-0.042,-0.49,0.163
1167,0.13,0.103,0.35
5111,-7.495,-0.138,-1.035
6592,-0.058,-0.04,0.478
1871,-0.294,-0.772,0.572
1907,-0.238,-0.344,0.566
5777,0.093,0.14,0.422
8940,-0.023,0.004,0.471
4271,0.163,0.363,0.542
5973,-2.333,0.248,-15.236
2908,-6.735,0.334,-11.689
7021,0.048,0.368,0.246
8278,-2.799,0.484,-0.197
3036,-0.484,0.264,0.102
8674,-1.015,0.326,-2.007
1466,-8.429,0.089,-0.033
9089,-1.237,-1.127,-54.806
3146,0.046,0.098,0.544
7029,-0.13,0.226,0.505
5035,0.195,0.014,0.461
5724,-1.625,-8.406,-8.053
6478,-1.116,-3.78,0.156
2269,0.078,0.068,0.45
5138,-0.042,0.133,0.324
920,0.012,-0.404,0.391
8658,-0.082,0.31,0.501
740,0.059,0.01,0.418
7798,-6.766,0.265,-0.257
8678,-0.554,0.18,-0.114
4485,-0.166,0.395,-13.47
5423,0.198,0.166,0.603
944,-0.983,0.294,0.276
6835,-0.958,0.125,-16.479
6652,-0.243,-0.424,0.489
8070,-5.537,0.363,-0.056
8261,-0.268,-0.866,0.476
5095,-0.146,0.313,0.263
2864,0.682,-1.096,-9.538
1882,-0.512,-0.419,0.44
7095,-0.064,0.282,0.555
3744,-0.081,-1.585,-9.358
3816,0.084,0.061,0.422
4542,-0.073,0.154,0.611
9175,-0.191,-1.588,-13.774
1102,-0.088,-2.122,0.135
5862,0.125,0.188,0.514
6913,-0.279,-2.28,0.232
5094,0.017,0.01,0.414
1312,-1.877,0.127,-22.516
2627,-0.071,0.053,-0.092
2650,0.006,-0.061,0.359
7000,0.112,-0.252,0.47
1710,0.1,0.017,0.364
204,-0.285,-1.706,0.242
8347,-12.06,-1.108,-27.11
1423,-1.157,0.064,-8.293
5531,-0.068,0.175,0.54
2389,0.223,-0.287,0.429
9175,-0.191,-1.588,-13.774
6717,0.009,-0.274,0.48
2437,-0.166,0.088,0.539
8904,0.128,-0.243,0.186
5454,-0.113,0.173,0.528
3645,-1.893,0.508,-21.296
3247,-0.081,-0.036,0.403
6402,-0.194,0.22,0.449
8911,-0.265,-0.056,0.545
3896,0.183,0.249,0.465
6351,-0.331,-0.153,0.072
4698,-0.224,-0.38,0.542
405,-0.599,0.373,0.16
9180,-0.004,-5.833,-5.072
4108,-0.004,0.067,0.528
1145,-0.04,0.141,0.138
5013,-0.166,-0.137,0.286
8121,-0.002,0.071,0.264
1644,-0.264,0.152,0.354
6410,-0.122,-0.214,0.384
8902,-0.102,0.089,0.499
7999,-0.158,-0.001,0.302
3494,-0.078,-0.204,0.435
1233,-3.599,0.213,-0.545
9105,-0.68,-2.251,-11.801
208,0.04,-0.007,0.444
1420,0.725,-2.696,-11.927
2776,-1.553,-0.478,0.265
1293,0.179,-0.663,0.49
9151,0.117,-6.981,-8.415
314,0.027,-1.156,0.316
6302,-0.098,-0.194,0.349
3228,-0.034,0.01,0.613
4393,-0.015,0.26,0.545
5205,-0.229,-6.26,-23.675
6318,-0.14,0.205,0.392
4330,-0.054,0.188,0.425
7898,-3.545,-0.389,-0.034
5439,-0.314,-1.208,0.547
7645,-0.149,-0.022,0.49
1947,-0.248,-0.153,0.29
8890,-0.057,0.089,0.547
1088,-4.353,0.314,0.012
8191,-0.17,-0.421,0.297
581,0.651,-9.693,-28.734
5239,-3.823,-0.128,-21.941
5734,-0.138,-0.041,0.433
1385,0.778,-9.487,-12.901
7640,0.06,-0.381,0.063
3698,-0.072,-1.2,-13.909
7687,0.151,-0.16,0.506
7847,-1.19,0.308,0.056
4982,-0.196,-0.789,0.325
2303,0.063,-0.017,0.525
8395,-9.625,0.571,-19.932
5711,-0.127,-0.111,0.444
6224,0.068,-0.926,0.214
6094,0.201,-1.05,0.332
2336,-5.85,0.258,-0.146
4360,-0.117,0.095,0.541
8039,-0.098,0.219,0.356
6313,-0.108,-0.064,0.36
3196,-0.053,0.056,0.487
9274,0.186,-1.048,0.249
6096,0.133,-0.628,0.32
8880,-0.052,0.033,0.602
3387,-0.073,-0.043,0.45
2597,0.053,-0.063,0.016
7871,-0.086,0.277,0.328
1553,0.025,-0.142,0.412
141,-5.227,0.323,-0.117
4682,-1.316,-3.681,-7.626
4189,-1.525,0.147,0.203
2957,-3.865,0.275,-11.783
2163,-1.481,-0.244,-14.484
7917,0.13,-0.217,0.241
1621,-0.037,-0.142,0.478
3505,0.179,0.125,0.561
8351,-2.603,-1.359,-18.862
3153,0.112,-1.919,0.481
4221,0.104,0.351,0.526
3241,0.148,-0.231,0.002
92,0.073,-0.335,0.425
2518,0.097,-0.336,0.348
9210,-0.089,0.035,0.595
4321,0.085,0.32,0.453
7027,-0.091,0.013,0.488
716,-0.085,-0.927,-0.079
4941,-0.153,-1.743,-0.552
4016,0.147,0.032,0.58
7280,-0.082,-0.319,0.108
512,-0.519,-0.345,0.333
1854,-0.042,0.087,0.435
8694,0.215,-1.311,-0.436
249,0.145,-0.84,0.448
1040,-0.005,-1.37,0.223
1031,0.036,-1.888,0.335
464,-0.221,0.139,0.358
7293,0.177,-0.223,0.355
3419,-0.23,0.029,0.45
6768,-0.073,-5.494,-12.054
8119,0.005,0.081,0.411
3997,-1.444,0.523,0.251
2591,-0.041,0.297,0.524
18,-0.24,-0.711,0.563
6902,-0.209,0.128,0.561
5987,-1.521,-0.489,-11.822
1628,0.13,-0.713,0.491
6823,-0.186,-0.661,-9.909
3740,-0.201,-0.038,-12.33
7188,-0.262,0.183,0.401
2830,-0.243,-0.139,0.515
6496,-1.206,-1.336,-2.441
5043,0.193,-0.533,0.284
2896,0.765,-2.656,-9.162
3076,-0.062,0.382,0.418
6908,-0.086,0.036,0.411
7527,-0.42,-2.491,-32.606
4534,-0.264,-0.105,0.542
4827,0.091,0.027,0.395
4249,-0.074,0.05,0.215
3142,-0.116,-0.134,0.46
